row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
14,CA-2025-161389,2025-02-22,2025-02-26,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.59
15,US-2025-118983,2025-03-05,2025-03-10,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter,68.81,5,0.8,-123.86
16,US-2025-118983,2025-03-05,2025-03-10,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex Personal File Caddy,2.54,3,0.8,-3.82
17,CA-2025-105893,2025-03-11,2025-03-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Metal Shelving,665.88,6,0.0,13.32
18,CA-2025-167164,2025-03-13,2025-03-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000102,Office Supplies,Storage,Fellowes Recycled Plastic Storage Tub,55.50,2,0.0,9.99
19,CA-2025-143336,2025-04-01,2025-04-05,Second Class,ZD-21925,Zuschlich Donnell,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.48
20,CA-2025-143336,2025-04-01,2025-04-05,Second Class,ZD-21925,Zuschlich Donnell,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
21,CA-2025-143336,2025-04-01,2025-04-05,Second Class,ZD-21925,Zuschlich Donnell,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,Wilson Jones Hanging View Binder,22.72,4,0.2,7.38
22,CA-2025-137330,2025-04-09,2025-04-14,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.06
23,CA-2025-137330,2025-04-09,2025-04-14,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,Acco Six-Outlet Power Strip,60.34,7,0.0,15.69
24,US-2025-156909,2025-05-16,2025-05-21,Standard Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,Global Deluxe Mid-Back Office Chair,71.37,2,0.3,-1.02
25,CA-2025-106320,2025-05-25,2025-05-28,First Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford Rectangular Folding Table,1044.63,3,0.0,240.26
26,CA-2025-121755,2025-06-16,2025-06-21,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Recycled D-Ring Binder,11.65,2,0.2,4.08
27,CA-2025-121755,2025-06-16,2025-06-21,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,FUR-CH-10003061,Furniture,Chairs,Global Standard Medium-Back Chair,90.57,3,0.2,11.32
28,US-2025-150630,2025-07-17,2025-07-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,Riverside Open Library Bookcase,3083.43,7,0.5,-1665.05
29,US-2025-150630,2025-07-17,2025-07-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Premium Folder,9.62,2,0.2,3.37
30,US-2025-150630,2025-07-17,2025-07-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 1916,269.06,6,0.2,94.17
31,US-2025-150630,2025-07-17,2025-07-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,Howard Miller 11-1/2"" Diameter Wall Clock,124.20,3,0.2,15.53
32,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-BO-10001072,Furniture,Bookcases,DMI Eclipse Series Bookcase,242.06,3,0.3,-24.21
33,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-BI-10004464,Office Supplies,Binders,Avery Heavy-Duty Ring Binder,17.22,4,0.8,-29.27
34,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 29487GE2 Two-Line Phone,109.99,3,0.2,12.37
35,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-PA-10002222,Office Supplies,Paper,Xerox 207,10.08,2,0.2,3.28
36,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003554,Furniture,Furnishings,Tenex Anti-Static Desk Pad,190.62,5,0.6,-133.43
37,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-ST-10002756,Office Supplies,Storage,Staples 3-Shelf Metal Bookcase,328.39,4,0.2,24.63
38,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-AC-10004855,Technology,Accessories,Logitech K400 Wireless Keyboard,179.97,3,0.2,17.99
39,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-ST-10001426,Office Supplies,Storage,Superstrong Plastic Storage Boxes,33.02,2,0.2,3.30
40,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-CH-10002331,Furniture,Chairs,Hon 2090 Series Leather Chair,370.62,2,0.2,46.33
41,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-AC-10001908,Technology,Accessories,Logitech Wireless Mouse M325,124.95,5,0.2,31.24
42,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10001889,Furniture,Furnishings,Master Caster Gorilla Grips,14.76,3,0.2,3.69
43,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-EN-10001535,Office Supplies,Envelopes,Staples No. 10 Security Envelopes,113.96,4,0.2,37.04
44,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-AR-10000755,Office Supplies,Art,Prismacolor Colored Pencils,86.20,5,0.2,10.78
45,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10002447,Technology,Phones,AT&T CL83201 Phone System,151.98,2,0.2,19.00
46,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-BI-10001097,Office Supplies,Binders,GBC Multi-Hole Punch,22.78,2,0.8,-39.87
47,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-BI-10004187,Office Supplies,Binders,Acco Ring Binder,8.18,3,0.8,-13.91
48,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-ST-10002344,Office Supplies,Storage,Carhartt Fabric Utility Bag,69.98,2,0.2,6.99
49,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Picture Frame,44.75,5,0.2,4.48
50,CA-2025-117590,2025-08-08,2025-08-12,Standard Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,OFF-ST-10001580,Office Supplies,Storage,Fellowes Letter Size File Box,35.96,4,0.2,4.50
51,US-2025-156867,2025-09-02,2025-09-06,Standard Class,LC-16885,Liz Carlisle,Consumer,United States,San Francisco,California,94109,West,FUR-CH-10001146,Furniture,Chairs,Global Comfort Leather Executive Chair,1015.92,4,0.2,114.29
52,CA-2025-103849,2025-10-14,2025-10-18,Standard Class,DM-13045,Darrin Martin,Consumer,United States,Chicago,Illinois,60610,Central,TEC-PH-10004165,Technology,Phones,Cisco Unified IP Phone 7945G,335.98,2,0.2,41.99
53,US-2025-146394,2025-11-20,2025-11-24,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Seattle,Washington,98103,West,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS MF743Cdw,1299.98,2,0.0,389.99
54,CA-2026-100093,2026-01-05,2026-01-10,Standard Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone,911.42,4,0.0,182.28
55,CA-2026-111222,2026-02-12,2026-02-16,Standard Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,FUR-TA-10000577,Furniture,Tables,Bretford Rectangular Folding Table,957.58,5,0.2,95.76
56,CA-2026-122333,2026-03-20,2026-03-24,Standard Class,LC-16885,Liz Carlisle,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000102,Office Supplies,Storage,Fellowes Recycled Plastic Storage Tub,55.50,2,0.0,9.99
57,CA-2026-133444,2026-04-18,2026-04-22,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0.0,146.39
58,US-2026-144555,2026-05-15,2026-05-19,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Desk Accessories,48.86,7,0.2,4.89
59,CA-2026-155666,2026-06-25,2026-06-29,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,Howard Miller Wall Clock,124.20,3,0.3,-12.42
60,CA-2026-166777,2026-07-30,2026-08-04,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone,907.15,6,0.1,181.43
